trigger,direction,signal_def
F0,SHORT,Micro_LogReturn:hi + Micro_ThrustEff:lo + MultiDay_Slope:hi
F0,SHORT,Micro_LogReturn:lo + WeeklyOpen_Dist_ATR:hi + Lower_Wick:hi
F0,SHORT,Micro_MicroGap:hi + Micro_ThrustEff:lo + D2D_Signal:==-1
F0,SHORT,Micro_MicroGap:lo + Micro_OrderFlowDelta:lo + VWAP_Sigma:lo
F0,SHORT,Micro_MomoTransfer:hi + Micro_OrderFlowDelta:lo + Micro_Rejection:hi
F0,SHORT,Micro_MomoTransfer:hi + Micro_RangeAccel:lo + OBVf_Signal:==1
F0,SHORT,Micro_MomoTransfer:hi + Micro_WickImbalance:lo + VAL_Side:==0
F0,SHORT,Micro_OrderFlowDelta:lo + PrevDay_High_Dist_ATR:lo + VAH_Side:==0
F0,SHORT,Micro_PriceAccel:lo + Micro_RangeAccel:lo + VAL_Side:==0
F0,SHORT,Micro_RangeAccel:lo + VWAP_Dist_ATR:lo + D2D_Signal:==-1
F0,SHORT,Micro_RangeAccel:lo + VWAP_Sigma_ATR:lo + D2D_Signal:==-1
F0,SHORT,Micro_RangeVelocity:lo + Lower_Wick:lo + AT_Regime_ST:==0
F0,SHORT,Micro_VolAccel:hi + Body_Size:lo + OR_Low_Side:==-1
F0,SHORT,Micro_VolOfVol:lo + VWAP_Sigma_ATR:lo + D2D_Signal:==-1
F0,SHORT,Momentum_Value:hi + Micro_VolAccel:lo + RangeOsc_State:==2
F0,SHORT,Momentum_Value:hi + Session_High_Dist_ATR:hi + TChan_A15:hi
F0,SHORT,OBV_Velocity:hi + Micro_RollProxy:hi + PrevDay_High_Dist_ATR:lo
F0,SHORT,OBV_Velocity:lo + Micro_TickIntensity:hi + VAL_Side:==0
F0,SHORT,OBV_Velocity:lo + Micro_TickIntensity:lo + PoC_Side:==0
F0,SHORT,OBVf_DirStepCount:hi + VAL_Side:==0 + WeeklyOpen_Side:==-1
F0,SHORT,PrevDay_Close_Dist_ATR:lo + VWAP_Side:==1 + PrevDay_High_Side:==1
F0,SHORT,Round_500_Dist_ATR:lo + RangeOsc_State:==2 + PrevDay_Close_Side:==-1
F0,SHORT,Slope_Accel_LT:hi + RangeOsc_Val:lo + Dist_To_PoC_ATR:lo
F0,SHORT,Slope_Accel_LT:hi + RangeOsc_Val:lo + Micro_LogReturn:lo
F0,SHORT,Slope_Accel_LT:lo + Micro_OrderFlowDelta:hi + PoC_Side:==0
F0,SHORT,Slope_Accel_LT:lo + Micro_Rejection:hi + PrevDay_High_Side:==1
F0,SHORT,Slope_Accel_LT:lo + Sqz_Val:hi + Micro_CSSpread:lo
F0,SHORT,Slope_Accel_ST:lo + Volume_Avg_10:hi + VAL_Side:==-1
