direction,cond_a,cond_b,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl,bars_same_signal,bars_cross_signal_only
LONG,Bars_Since_Flip:hi,Slope_EMA_ST:lo,71,68,3,20.92,725.79,51531.2,0,71
LONG,Micro_VolOfVol:hi,Volume:hi,69,67,2,16.96,722.09,49824.4,49,20
LONG,Micro_Rejection:lo,Volume_Avg_10:hi,68,67,1,8.78,254.82,17328.0,64,4
LONG,AT_Slope_ST:lo,Volume:hi,70,66,4,17.71,637.15,44600.2,60,10
LONG,Momentum_Value:hi,OBV_Macd:lo,69,66,3,18.57,925.23,63841.1,0,69
LONG,OR_Low_Side:==-1,Slope_EMA_ST:lo,68,66,2,19.47,876.64,59611.6,34,34
LONG,Bars_Since_Flip:hi,Upper_Wick:hi,67,65,2,15.6,677.43,45387.6,59,8
LONG,AT_Slope_ST:lo,Micro_RangeVelocity:hi,67,65,2,15.46,646.31,43302.9,26,41
LONG,AT_Slope_ST:lo,D2D_ATR:hi,68,65,3,20.91,756.27,51426.4,61,7
LONG,D2D_Signal:==1,PoC_Side:==1,65,65,0,10.25,1233.6,80183.9,65,0
LONG,D2D_Signal:==1,Upper_Wick:hi,65,65,0,10.25,1233.6,80183.9,65,0
LONG,Micro_RollProxy:hi,OBV_Macd:lo,68,65,3,15.93,991.66,67432.7,41,27
LONG,PoC_Side:==1,Upper_Wick:hi,65,65,0,10.25,1233.6,80183.9,65,0
LONG,OR_High_Side:==-1,Volume:hi,67,64,3,11.43,604.4,40494.5,0,67
LONG,Bars_Since_Flip:hi,Momentum_Value:hi,67,64,3,20.54,771.28,51675.9,0,67
LONG,AT_Slope_ST:lo,Bars_Since_Flip:hi,67,64,3,21.73,744.71,49895.8,64,3
LONG,AT_Slope_ST:lo,OR_Low_Side:==-1,67,64,3,19.84,889.12,59571.1,0,67
LONG,OBV_Macd:lo,OR_Low_Side:==-1,66,63,3,15.94,743.73,49086.5,0,66
LONG,Bars_Since_Flip:hi,Volume_Avg_10:hi,65,63,2,13.48,636.33,41361.5,55,10
