direction,lag,condition,win_true,win_rate,lose_true,lose_rate,lift,p,BY_reject
LONG,0,DailyOpen_Dist_ATR:lo,110,0.43478260869565216,229,0.3290229885057471,1.3214353521928992,0.0035467868081206525,
LONG,0,DailyOpen_Side:==-1,152,0.6007905138339921,308,0.4425287356321839,1.3576305117807093,1.9340451283939032e-05,
LONG,0,DailyOpen_Side:==0,0,0.0,1,0.0014367816091954023,0.0,1.0,
LONG,0,DailyOpen_Side:==1,101,0.39920948616600793,387,0.5560344827586207,0.7179581456628981,2.001744152273309e-05,
LONG,0,Dist_To_PoC_ATR:hi,12,0.04743083003952569,75,0.10775862068965517,0.4401581027667984,0.0033581278524084154,
LONG,0,Dist_To_PoC_ATR:lo,59,0.233201581027668,136,0.19540229885057472,1.193443385259242,0.20454257043762675,
LONG,0,EMA_Oscillator:hi,81,0.3201581027667984,161,0.23132183908045978,1.384037512581936,0.006945945797853019,
LONG,0,EMA_Oscillator:lo,41,0.16205533596837945,78,0.11206896551724138,1.4460322286409244,0.04586154791026392,
LONG,0,Efficiency_Ratio:hi,86,0.33992094861660077,208,0.2988505747126437,1.1374277896017024,0.23433767072046074,
LONG,0,Efficiency_Ratio:lo,26,0.10276679841897234,86,0.1235632183908046,0.8316940895302877,0.4265970678682105,
LONG,0,Harmonic_D2D_Concordance:==0,222,0.8774703557312253,558,0.8017241379310345,1.0944791533851843,0.007085342578389763,
LONG,0,Harmonic_D2D_Concordance:==1,31,0.1225296442687747,138,0.19827586206896552,0.6179755971816463,0.007085342578389763,
LONG,0,Harmonic_LLEMA:hi,29,0.11462450592885376,128,0.1839080459770115,0.6232707509881423,0.01027185069459878,
LONG,0,Harmonic_LLEMA:lo,6,0.023715415019762844,9,0.01293103448275862,1.83399209486166,0.24581036744283458,
LONG,0,Harmonic_OBVf_Concordance:==0,228,0.9011857707509882,614,0.882183908045977,1.021539570753563,0.48630884981083194,
LONG,0,Harmonic_OBVf_Concordance:==1,25,0.09881422924901186,82,0.11781609195402298,0.8387158970403934,0.48630884981083194,
LONG,0,KAMA_Dist:hi,130,0.5138339920948617,287,0.41235632183908044,1.2460921898885846,0.006172106874291551,
LONG,0,KAMA_Dist:lo,27,0.1067193675889328,44,0.06321839080459771,1.6881063600431188,0.03532413295318668,
LONG,0,KAMA_Dist_ATR:hi,19,0.07509881422924901,64,0.09195402298850575,0.816699604743083,0.5158061445046203,
LONG,0,KAMA_Dist_ATR:lo,4,0.015810276679841896,4,0.005747126436781609,2.75098814229249,0.21993046288038703,
LONG,0,KAMA_Slope:hi,63,0.2490118577075099,174,0.25,0.9960474308300395,1.0,
