direction,condition,location,turn,in_book_side,n_297A,rate_297A,n_Ai297,rate_Ai297,rate_untraded_hm,lift_297A,lift_Ai297,lift_973,p_297A_vs_untraded,p_297A_vs_Ai297,BY_297A_vs_untraded,BY_297A_vs_Ai297
LONG,PrevDay_Low_Dist_ATR:hi,True,False,False,19,0.05459770114942529,5,0.019762845849802372,0.12930366537390725,0.42224403300204355,0.1563729258160982,0.31179958715670697,1.4594092027120801e-06,0.03486248328443775,True,False
LONG,PrevDay_Low_Dist_ATR:lo,True,False,True,195,0.5603448275862069,138,0.5454545454545454,0.326798013789583,1.714651876516602,1.6508997811077941,1.687644060771964,5.5109951294566e-19,0.739932689169374,True,False
LONG,PrevDay_Low_Side:==-1,True,False,True,140,0.40229885057471265,80,0.31620553359683795,0.16520257398426988,2.4351851237682194,1.9527611218252154,2.2344523902411004,3.0633455940955892e-22,0.03228000664045505,True,False
LONG,PrevDay_Low_Side:==0,True,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,PrevDay_Low_Side:==1,True,False,True,208,0.5977011494252874,173,0.6837944664031621,0.8347974260157052,0.7159834599370731,0.8159131647687892,0.7581457813075461,3.0633455940955892e-22,0.03228000664045505,True,False
LONG,RangeOsc_State:==-1,False,False,True,52,0.14942528735632185,106,0.4189723320158103,0.08060106454953872,1.8538872680085094,4.977088079366862,3.201831011643229,2.5793663653320153e-05,1.9825861231477853e-13,True,True
LONG,RangeOsc_State:==-2,False,False,True,50,0.14367816091954022,54,0.2134387351778656,0.09692574229987724,1.4823529591861808,2.034107504524556,1.7253556407075195,0.008670454779716143,0.028971219198960972,False,False
LONG,RangeOsc_State:==1,False,False,False,171,0.49137931034482757,49,0.19367588932806323,0.6703875476300701,0.7329779797997948,0.2967534135627159,0.5521878734523678,3.7736958995854765e-11,2.7423397468431634e-14,True,True
LONG,RangeOsc_State:==2,False,False,True,75,0.21551724137931033,44,0.17391304347826086,0.15208564552049736,1.4170781249060351,1.099041649202023,1.2801110608134407,0.002626383029332506,0.2151763826333517,True,False
LONG,RangeOsc_Val:hi,False,False,True,126,0.3620689655172414,24,0.09486166007905138,0.49252917587932843,0.7351218633308937,0.19961962638506844,0.5143524703217224,2.1018478029505835e-06,1.3243460434346358e-14,True,True
