direction,condition,variable,in_book_this_dir,book_group,traded_bars_true,traded_rate,untraded_rate_hourmatched,untraded_rate_raw,lift_hourmatched,lift_raw,fisher_p_raw
LONG,OR_Low_Dist_ATR:lo,OR_Low_Dist_ATR,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,OR_Low_Side:==-1,OR_Low_Side,True,both,246,0.40931780366056575,0.20224694377066615,0.16948152518622317,2.0238516144140277,2.41511753691628,2.0194120375749789e-41
LONG,OR_Low_Side:==0,OR_Low_Side,False,not-in-book,80,0.13311148086522462,0.13180918859510196,0.24220075226786636,1.009880132667557,0.5495915252897626,1.0375946324384547e-10
LONG,OR_Low_Side:==1,OR_Low_Side,True,LONG-only,275,0.45757071547420963,0.6659438676342232,0.5883177225459104,0.6871010271477344,0.7777612299253867,3.2409633151587934e-10
LONG,OR_Position:hi,OR_Position,True,LONG-only,194,0.3227953410981697,0.5190188876569464,0.45003318828822186,0.6219337075677414,0.71727008029336,5.829070304318348e-10
LONG,OR_Position:lo,OR_Position,True,LONG-only,261,0.43427620632279534,0.2323367331080567,0.1952208864960543,1.8691672234231653,2.224537620525418,1.6192378986181702e-38
LONG,PoC_Side:==-1,PoC_Side,False,not-in-book,6,0.009983361064891847,0.003252903834290067,0.004130098089829634,3.069061236810487,2.4172212978369383,0.04713261242365049
LONG,PoC_Side:==0,PoC_Side,False,SHORT-only,3,0.004991680532445923,0.0037659786196430115,0.003982594586621432,1.3254670396719086,1.25337400628582,0.7349294311051218
LONG,PoC_Side:==1,PoC_Side,True,LONG-only,592,0.9850249584026622,0.9929811175460951,0.9918873073235489,0.9919876027823222,0.9930815236063423,0.10180328445327597
LONG,PrevDay_Close_Dist_ATR:hi,PrevDay_Close_Dist_ATR,True,both,62,0.10316139767054909,0.1303622829247072,0.13076185559407036,0.7913439022092885,0.7889257704540187,0.05404632382636773
LONG,PrevDay_Close_Dist_ATR:lo,PrevDay_Close_Dist_ATR,False,SHORT-only,245,0.40765391014975044,0.3001137916404555,0.3084298252083487,1.3583311447350308,1.3217071658824644,5.49720503279844e-07
LONG,PrevDay_Close_Side:==-1,PrevDay_Close_Side,True,both,379,0.6306156405990017,0.384084922194919,0.40224205324876466,1.641865129709442,1.5677516448261575,3.2683594461198495e-28
LONG,PrevDay_Close_Side:==0,PrevDay_Close_Side,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,PrevDay_Close_Side:==1,PrevDay_Close_Side,False,not-in-book,222,0.36938435940099834,0.6159150778050809,0.5977579467512354,0.5997326136540818,0.6179497259861981,3.2683594461198495e-28
LONG,PrevDay_High_Dist_ATR:hi,PrevDay_High_Dist_ATR,True,LONG-only,70,0.11647254575707154,0.06488137364601357,0.06718784571133564,1.7951615265196814,1.733535947222978,1.6585277528288512e-05
LONG,PrevDay_High_Dist_ATR:lo,PrevDay_High_Dist_ATR,True,both,259,0.43094841930116473,0.43244254061708565,0.42753890404897116,0.9965449252199174,1.0079747485431245,0.8663002959428243
LONG,PrevDay_High_Side:==-1,PrevDay_High_Side,True,LONG-only,531,0.8835274542429284,0.6814069918451807,0.6953315141234604,1.2966222313780875,1.2706564225795363,1.2575831234313114e-26
LONG,PrevDay_High_Side:==0,PrevDay_High_Side,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,PrevDay_High_Side:==1,PrevDay_High_Side,True,both,70,0.11647254575707154,0.3185930081548184,0.30466848587653955,0.3655841238690097,0.3822927252287904,1.2575831234313114e-26
LONG,PrevDay_Low_Dist_ATR:hi,PrevDay_Low_Dist_ATR,False,SHORT-only,24,0.03993344425956739,0.12807407676103652,0.13717825798362712,0.3117995871567054,0.29110622081477106,6.755024178418363e-15
LONG,PrevDay_Low_Dist_ATR:lo,PrevDay_Low_Dist_ATR,True,LONG-only,333,0.5540765391014975,0.3283136248813373,0.3237701895420016,1.6876440607719458,1.711326604482279,1.2398931927625969e-29
LONG,PrevDay_Low_Side:==-1,PrevDay_Low_Side,True,both,220,0.36605657237936773,0.16382384067707717,0.17685670034663323,2.2344523902410725,2.069791936985758,7.80360261183983e-27
LONG,PrevDay_Low_Side:==0,PrevDay_Low_Side,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,PrevDay_Low_Side:==1,PrevDay_Low_Side,True,both,381,0.6339434276206323,0.8361761593229029,0.8231432996533667,0.7581457813075783,0.770149532757652,7.80360261183983e-27
LONG,RangeOsc_State:==-1,RangeOsc_State,True,both,158,0.2628951747088186,0.08210776076339439,0.08046316100007375,3.201831011643221,3.267273761573668,2.7693721546562524e-38
LONG,RangeOsc_State:==-2,RangeOsc_State,True,both,104,0.17304492512479203,0.10029522090519931,0.0992698576591194,1.7253556407075161,1.7431769240468464,6.219848890598118e-08
LONG,RangeOsc_State:==1,RangeOsc_State,False,not-in-book,220,0.36605657237936773,0.6629203392148226,0.6664945792462571,0.5521878734523866,0.5492266310602907,1.2785252988781337e-48
LONG,RangeOsc_State:==2,RangeOsc_State,True,both,119,0.19800332778702162,0.1546766791165776,0.15377240209454976,1.2801110608134363,1.2876389071770868,0.004759004776122962
LONG,RangeOsc_Val:hi,RangeOsc_Val,True,LONG-only,150,0.24958402662229617,0.4852392882767452,0.4903016446640608,0.514352470321718,0.5090417895565152,3.407635973044859e-32
LONG,RangeOsc_Val:lo,RangeOsc_Val,True,both,75,0.12479201331114809,0.029167279597350403,0.02706689283870492,4.27849340198612,4.610503837836122,1.3795294405094183e-25
LONG,Round_1000_Dist_ATR:hi,Round_1000_Dist_ATR,False,not-in-book,2,0.0033277870216306157,0.018192652599127723,0.020355483442731765,0.18291928587644068,0.16348356603728087,0.0008110176530321063
LONG,Round_1000_Dist_ATR:lo,Round_1000_Dist_ATR,True,LONG-only,352,0.5856905158069884,0.4264115631334039,0.4062246478353861,1.3735333805283176,1.4417897065771523,6.031256396241284e-18
LONG,Round_100_Dist_ATR:hi,Round_100_Dist_ATR,False,not-in-book,1,0.0016638935108153079,0.0034608407985021483,0.004572608599454237,0.4807772468284126,0.36388277601846386,0.5244602947020677
LONG,Round_100_Dist_ATR:lo,Round_100_Dist_ATR,True,both,305,0.5074875207986689,0.36233243816713795,0.35511468397374435,1.4006129933212694,1.4290806426810285,1.0821883942938713e-13
LONG,Round_500_Dist_ATR:hi,Round_500_Dist_ATR,False,not-in-book,0,0.0,0.006713872032454197,0.009513975956928976,0.0,0.0,0.006917089924549931
LONG,Round_500_Dist_ATR:lo,Round_500_Dist_ATR,True,both,320,0.5324459234608985,0.3868962918087507,0.36772623349804556,1.3761980528986186,1.447941090294088,1.3340240678548486e-15
LONG,ST_Flip_Event:==-1,ST_Flip_Event,True,LONG-only,37,0.06156405990016639,0.024187122084204808,0.022568035990854784,2.545323899463437,2.7279316607397255,1.7893364766309159e-07
